timestamp,agent.name,rule.description,rule.level,rule.id
"Apr 4, 2026 @ 14:58:36.053",argus-soc,sshd: Attempt to login using a non-existent user,5,5710
"Apr 4, 2026 @ 14:58:34.053",argus-soc,sshd: Attempt to login using a non-existent user,5,5710
"Apr 4, 2026 @ 14:57:54.040",argus-soc,sshd: connection reset,4,5762
"Apr 4, 2026 @ 14:56:38.021",argus-soc,PAM: Login session opened.,3,5501
"Apr 4, 2026 @ 14:56:38.021",argus-soc,sshd: authentication success.,3,5715
"Apr 4, 2026 @ 14:56:38.021",argus-soc,PAM: Login session opened.,3,5501
"Apr 4, 2026 @ 14:56:08.013",argus-soc,sshd: connection reset,4,5762
"Apr 4, 2026 @ 14:54:56.661",argus-edge-01,Log file rotated.,3,591
"Apr 4, 2026 @ 14:54:23.993",argus-soc,sshd: connection reset,4,5762
